Running 131 strict-v2 EARS evidence tests
...2026-07-18 09:44:14,484 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:14,602 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:14,704 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:14,819 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:14,907 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:14,998 [WARNING] emo event=broadcast_play result=conflict action=broadcast.play client_request_id=broadcast-control-after-stop user=alice source_client_id=authority-1 latency_ms=0
.2026-07-18 09:44:15,037 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:15,123 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,170 [WARNING] emo event=unauthorized_action result=forbidden action=broadcast.start client_request_id=broadcast-cross-user user=alice source_client_id=controller-1 latency_ms=0
.2026-07-18 09:44:15,208 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,311 [WARNING] emo event=unauthorized_action result=forbidden action=broadcast.start client_request_id=broadcast-old-authority-start user=alice source_client_id=authority-1 latency_ms=0
